date,consumption,wind,solar,wind_solar,churn,facturacion_mensual,cuentas_diarias,segmento_consumo,nivel_consumo,tipo_cliente
2012-01-01,948.128,227.4650000000001,6.587,234.05200000000005,1,948.128,31.604266666666668,Bajo,Bajo,Mixto
2012-01-02,1269.581,207.32700000000003,6.574000000000001,213.901,1,1269.581,42.31936666666666,Medio,Medio,Mixto
2012-01-03,1334.745,473.4679999999999,24.679,498.147,1,1334.745,44.491499999999995,Medio,Medio,Mixto
2012-01-04,1347.1359999999995,499.804,14.681,514.485,1,1347.1359999999995,44.90453333333332,Medio,Medio,Mixto
2012-01-05,1376.658,523.851,5.071,528.9219999999999,1,1376.658,45.8886,Alto,Alto,Mixto
2012-01-06,1291.215,286.26500000000004,13.159999999999998,299.4250000000001,1,1291.215,43.040499999999994,Medio,Medio,Mixto
2012-01-07,1175.6879999999996,368.288,4.115,372.403,1,1175.6879999999996,39.18959999999999,Bajo,Bajo,Mixto
2012-01-08,1103.3830000000005,220.851,8.440000000000001,229.29100000000005,1,1103.3830000000005,36.77943333333335,Bajo,Bajo,Mixto
2012-01-09,1443.3709999999996,151.83700000000002,5.263999999999999,157.10100000000003,0,1443.3709999999996,48.11236666666665,Alto,Alto,Mixto
2012-01-10,1434.631,175.99499999999998,17.827,193.822,0,1434.631,47.82103333333334,Alto,Alto,Mixto
2012-01-11,1449.768,197.434,10.849,208.28300000000004,0,1449.768,48.3256,Alto,Alto,Mixto
2012-01-12,1442.4480000000003,446.327,18.023,464.35,0,1442.4480000000003,48.08160000000001,Alto,Alto,Mixto
2012-01-13,1403.402,415.1060000000001,18.778,433.88400000000007,0,1403.402,46.78006666666667,Alto,Alto,Mixto
2012-01-14,1203.1650000000002,174.69000000000003,26.772,201.46200000000007,1,1203.1650000000002,40.105500000000006,Medio,Medio,Mixto
2012-01-15,1150.9199999999998,34.468,36.609,71.07699999999998,1,1150.9199999999998,38.364,Bajo,Bajo,Mixto
2012-01-16,1487.7820000000002,52.34499999999999,39.682,92.027,0,1487.7820000000002,49.592733333333335,Alto,Alto,Mixto
2012-01-17,1518.0740000000003,76.42999999999999,31.036,107.466,0,1518.0740000000003,50.60246666666668,Muy Alto,Muy Alto,Mixto
2012-01-18,1498.8090000000004,225.266,40.924,266.19000000000005,0,1498.8090000000004,49.96030000000001,Alto,Alto,Mixto
2012-01-19,1470.066,282.584,3.885,286.46900000000005,0,1470.066,49.0022,Alto,Alto,Mixto
2012-01-20,1448.554,245.75400000000005,15.022000000000002,260.77599999999995,0,1448.554,48.285133333333334,Alto,Alto,Mixto
2012-01-21,1242.3069999999998,344.898,3.191,348.089,1,1242.3069999999998,41.41023333333332,Medio,Medio,Mixto
2012-01-22,1120.283,418.173,8.993,427.166,1,1120.283,37.34276666666666,Bajo,Bajo,Mixto
2012-01-23,1454.4699999999998,115.608,11.676,127.284,0,1454.4699999999998,48.48233333333333,Alto,Alto,Mixto
2012-01-24,1493.9540000000002,32.889,14.717999999999998,47.607000000000006,0,1493.9540000000002,49.79846666666667,Alto,Alto,Mixto
2012-01-25,1498.37,48.45099999999999,27.116,75.567,0,1498.37,49.94566666666666,Alto,Alto,Mixto
2012-01-26,1483.5859999999996,203.96499999999995,39.336,243.301,0,1483.5859999999996,49.45286666666665,Alto,Alto,Mixto
2012-01-27,1458.9670000000003,90.621,12.284,102.905,0,1458.9670000000003,48.632233333333346,Alto,Alto,Mixto
2012-01-28,1256.093,27.172,9.698,36.87,1,1256.093,41.86976666666667,Medio,Medio,Mixto
2012-01-29,1149.243,78.80699999999999,9.114,87.92099999999998,1,1149.243,38.308099999999996,Bajo,Bajo,Mixto
2012-01-30,1454.1700000000003,185.983,21.558,207.54100000000005,0,1454.1700000000003,48.472333333333346,Alto,Alto,Mixto
2012-01-31,1485.711,208.673,32.078,240.751,0,1485.711,49.5237,Alto,Alto,Mixto
2012-02-01,1511.866,199.607,43.502,243.109,0,1511.866,50.39553333333333,Muy Alto,Muy Alto,Mixto
2012-02-02,1563.4069999999997,73.46900000000001,44.67499999999999,118.14400000000003,0,1563.4069999999997,52.11356666666666,Muy Alto,Muy Alto,Mixto
2012-02-03,1563.631,36.352,46.51,82.862,0,1563.631,52.12103333333334,Muy Alto,Muy Alto,Mixto
2012-02-04,1372.6140000000005,20.551,45.225,65.77600000000002,1,1372.6140000000005,45.75380000000002,Alto,Alto,Mixto
2012-02-05,1279.432,55.52199999999999,54.572,110.094,1,1279.432,42.647733333333335,Medio,Medio,Mixto
2012-02-06,1574.766,34.896,55.389,90.285,0,1574.766,52.492200000000004,Muy Alto,Muy Alto,Mixto
2012-02-07,1615.0779999999995,100.312,19.867,120.179,0,1615.0779999999995,53.835933333333315,Muy Alto,Muy Alto,Mixto
2012-02-08,1613.774,93.76300000000002,36.93,130.69299999999998,0,1613.774,53.79246666666666,Muy Alto,Muy Alto,Mixto
2012-02-09,1591.5319999999997,132.219,19.042,151.26099999999997,0,1591.5319999999997,53.05106666666666,Muy Alto,Muy Alto,Mixto
2012-02-10,1581.287,52.12200000000001,34.873,86.99499999999999,0,1581.287,52.70956666666667,Muy Alto,Muy Alto,Mixto
2012-02-11,1377.404,32.375,44.629000000000005,77.00399999999999,1,1377.404,45.913466666666665,Alto,Alto,Mixto
2012-02-12,1264.254,62.65899999999999,45.176,107.835,1,1264.254,42.141799999999996,Medio,Medio,Mixto
2012-02-13,1561.987,25.984,11.287,37.271,0,1561.987,52.06623333333334,Muy Alto,Muy Alto,Mixto
2012-02-14,1550.3660000000002,146.495,9.61,156.105,0,1550.3660000000002,51.67886666666667,Muy Alto,Muy Alto,Mixto
2012-02-15,1476.0369999999998,413.367,18.877,432.244,0,1476.0369999999998,49.20123333333333,Alto,Alto,Mixto
2012-02-16,1504.119,130.247,38.176,168.42299999999997,0,1504.119,50.137299999999996,Muy Alto,Muy Alto,Mixto
2012-02-17,1438.8569999999995,196.515,17.328000000000003,213.843,0,1438.8569999999995,47.961899999999986,Alto,Alto,Mixto
2012-02-18,1236.0690000000002,237.889,26.248,264.137,1,1236.0690000000002,41.20230000000001,Medio,Medio,Mixto
2012-02-19,1107.431,272.655,30.382,303.037,1,1107.431,36.914366666666666,Bajo,Bajo,Mixto
2012-02-20,1401.8730000000005,160.315,53.794,214.109,0,1401.8730000000005,46.72910000000002,Alto,Alto,Mixto
2012-02-21,1434.533,281.90900000000005,57.984,339.8930000000001,0,1434.533,47.817766666666664,Alto,Alto,Mixto
2012-02-22,1453.507,287.635,74.904,362.539,0,1453.507,48.45023333333334,Alto,Alto,Mixto
2012-02-23,1427.402,353.51,18.927,372.437,0,1427.402,47.58006666666667,Alto,Alto,Mixto
2012-02-24,1373.8000000000002,382.777,29.280999999999995,412.058,1,1373.8000000000002,45.79333333333334,Alto,Alto,Mixto
2012-02-25,1133.1840000000002,302.1019999999999,42.667,344.76899999999995,1,1133.1840000000002,37.772800000000004,Bajo,Bajo,Mixto
2012-02-26,1086.743,95.23399999999998,37.214,132.44800000000004,1,1086.743,36.22476666666667,Bajo,Bajo,Mixto
2012-02-27,1436.0949999999998,86.956,43.099,130.05499999999998,0,1436.0949999999998,47.869833333333325,Alto,Alto,Mixto
2012-02-28,1408.211,231.923,16.19,248.113,0,1408.211,46.94036666666667,Alto,Alto,Mixto
2012-02-29,1434.062,77.024,30.36,107.384,0,1434.062,47.80206666666666,Alto,Alto,Mixto
2012-03-01,1411.553,62.293000000000006,40.04200000000001,102.335,0,1411.553,47.05176666666667,Alto,Alto,Mixto
2012-03-02,1402.006,39.97200000000001,38.665000000000006,78.63699999999999,0,1402.006,46.733533333333334,Alto,Alto,Mixto
2012-03-03,1186.275,107.629,55.38,163.009,1,1186.275,39.542500000000004,Bajo,Bajo,Mixto
2012-03-04,1072.0779999999995,80.68499999999999,32.054,112.739,1,1072.0779999999995,35.735933333333314,Bajo,Bajo,Mixto
2012-03-05,1388.816,154.20600000000002,32.907,187.113,0,1388.816,46.293866666666666,Alto,Alto,Mixto
2012-03-06,1433.1660000000002,61.690000000000005,83.002,144.692,0,1433.1660000000002,47.772200000000005,Alto,Alto,Mixto
2012-03-07,1455.451,157.05900000000003,75.15699999999998,232.216,0,1455.451,48.515033333333335,Alto,Alto,Mixto
2012-03-08,1412.1809999999998,150.182,44.725,194.907,0,1412.1809999999998,47.07269999999999,Alto,Alto,Mixto
2012-03-09,1399.515,126.102,92.597,218.699,0,1399.515,46.6505,Alto,Alto,Mixto
2012-03-10,1153.1719999999998,216.614,59.99499999999999,276.60900000000004,1,1153.1719999999998,38.43906666666666,Bajo,Bajo,Mixto
2012-03-11,1042.487,200.78799999999995,22.692,223.48,1,1042.487,34.74956666666667,Bajo,Bajo,Mixto
2012-03-12,1347.4630000000002,194.24500000000003,37.298,231.54300000000003,1,1347.4630000000002,44.91543333333334,Medio,Medio,Mixto
2012-03-13,1391.174,119.97999999999998,31.898999999999997,151.87900000000005,0,1391.174,46.37246666666667,Alto,Alto,Mixto
2012-03-14,1403.8359999999998,65.82300000000001,56.3,122.12299999999998,0,1403.8359999999998,46.79453333333333,Alto,Alto,Mixto
2012-03-15,1411.7500000000002,24.083,100.78,124.863,0,1411.7500000000002,47.058333333333344,Alto,Alto,Mixto
2012-03-16,1365.107,74.49399999999999,111.971,186.465,1,1365.107,45.503566666666664,Alto,Alto,Mixto
2012-03-17,1156.4900000000002,74.31,95.08599999999998,169.39599999999993,1,1156.4900000000002,38.549666666666674,Bajo,Bajo,Mixto
2012-03-18,1062.4589999999998,162.956,58.994,221.95,1,1062.4589999999998,35.415299999999995,Bajo,Bajo,Mixto
2012-03-19,1323.263,159.86799999999997,75.965,235.833,1,1323.263,44.10876666666666,Medio,Medio,Mixto
2012-03-20,1377.97,145.134,109.88200000000002,255.016,1,1377.97,45.93233333333333,Alto,Alto,Mixto
2012-03-21,1382.409,53.161,106.847,160.00799999999995,0,1382.409,46.0803,Alto,Alto,Mixto
2012-03-22,1390.429,40.73,116.147,156.877,0,1390.429,46.347633333333334,Alto,Alto,Mixto
2012-03-23,1359.065,20.328,114.221,134.54899999999998,1,1359.065,45.30216666666667,Alto,Alto,Mixto
2012-03-24,1150.784,25.567,106.528,132.095,1,1150.784,38.35946666666667,Bajo,Bajo,Mixto
2012-03-25,1026.274,51.936,122.306,174.242,1,1026.274,34.20913333333333,Bajo,Bajo,Mixto
